dictionary_log_size,update_log_size,reg_update(s)
5,1,0.003709
5,2,0.005161
5,3,0.004654
6,0,0.004309
6,1,0.003641
6,2,0.004096
6,3,0.003885
6,4,0.005909
7,0,0.004806
7,1,0.002676
7,2,0.00291
7,3,0.003017
7,4,0.003123
7,5,0.005241
8,0,0.004455
8,1,0.007023
8,2,0.004896
8,3,0.004664
8,4,0.00465
8,5,0.009209
8,6,0.006214
9,0,0.003767
9,1,0.004802
9,2,0.00453
9,3,0.006065
9,4,0.006486
9,5,0.006823
9,6,0.007658
9,7,0.005243
10,0,0.007235
10,1,0.005808
10,2,0.004029
10,3,0.003946
10,4,0.005588
10,5,0.004659
10,6,0.005325
10,7,0.008148
10,8,0.005554
11,0,0.007234
11,1,0.007649
11,2,0.009044
11,3,0.005409
11,4,0.006189
11,5,0.00682
11,6,0.009041
11,7,0.007569
11,8,0.009816
11,9,0.008512
12,0,0.007675
12,1,0.007043
12,2,0.007334
12,3,0.008091
12,4,0.008639
12,5,0.008404
12,6,0.01073
12,7,0.009547
12,8,0.009955
12,9,0.01043
12,10,0.015
13,0,0.008613
13,1,0.008084
13,2,0.01021
13,3,0.009306
13,4,0.01013
13,5,0.01334
13,6,0.01224
13,7,0.01125
13,8,0.01172
13,9,0.01049
13,10,0.01143
13,11,0.01682
14,0,0.009772
14,1,0.008191
14,2,0.009126
14,3,0.01021
14,4,0.01086
14,5,0.01012
14,6,0.01308
14,7,0.01529
14,8,0.01493
14,9,0.01404
14,10,0.01648
14,11,0.0209
14,12,0.01833
15,0,0.012
15,1,0.01228
15,2,0.01288
15,3,0.01325
15,4,0.01277
15,5,0.0169
15,6,0.01562
15,7,0.01709
15,8,0.01895
15,9,0.02491
15,10,0.01884
15,11,0.02289
15,12,0.03046
15,13,0.0341
16,0,0.01765
16,1,0.01747
16,2,0.01732
16,3,0.01883
16,4,0.02092
16,5,0.02
16,6,0.01958
16,7,0.02187
16,8,0.02498
16,9,0.02603
16,10,0.02688
16,11,0.03438
16,12,0.03665
16,13,0.03637
16,14,0.05953
17,0,0.02647
17,1,0.02454
17,2,0.0238
17,3,0.02557
17,4,0.02422
17,5,0.02735
17,6,0.0292
17,7,0.0322
17,8,0.03147
17,9,0.04033
17,10,0.03181
17,11,0.03859
17,12,0.04598
17,13,0.05368
17,14,0.07073
17,15,0.09555
18,0,0.04113
18,1,0.03634
18,2,0.04348
18,3,0.04243
18,4,0.03513
18,5,0.03501
18,6,0.0416
18,7,0.04105
18,8,0.04293
18,9,0.04195
18,10,0.05106
18,11,0.04619
18,12,0.05248
18,13,0.05841
18,14,0.07393
18,15,0.1096
18,16,0.1688
19,0,0.07012
19,1,0.07824
19,2,0.07947
19,3,0.06948
19,4,0.06943
19,5,0.06683
19,6,0.08316
19,7,0.09198
19,8,0.09059
19,9,0.09599
19,10,0.1033
19,11,0.1073
19,12,0.1155
19,13,0.1274
19,14,0.1314
19,15,0.1929
19,16,0.267
19,17,0.4543
20,0,0.177
20,1,0.1763
20,2,0.166
20,3,0.1688
20,4,0.178
20,5,0.1786
20,6,0.1755
20,7,0.1807
20,8,0.1812
20,9,0.2155
20,10,0.2049
20,11,0.1993
20,12,0.2212
20,13,0.224
20,14,0.2361
20,15,0.2884
20,16,0.3882
20,17,0.5587
20,18,0.9788
21,0,0.3313
21,1,0.3344
21,2,0.3324
21,3,0.3517
21,4,0.3437
21,5,0.3321
21,6,0.3574
21,7,0.3449
21,8,0.3394
21,9,0.3795
21,10,0.3858
21,11,0.3764
21,12,0.3974
21,13,0.388
21,14,0.44
21,15,0.4659
21,16,0.5803
21,17,0.7472
21,18,1.212
21,19,2.479
22,0,0.791
22,1,0.7814
22,2,0.7684
22,3,0.7679
22,4,0.7601
22,5,0.7462
22,6,0.7551
22,7,0.7574
22,8,0.7693
22,9,0.7776
22,10,0.8318
22,11,0.8105
22,12,0.8014
22,13,0.8075
22,14,0.8392
22,15,0.8859
22,16,0.9772
22,17,1.158
22,18,1.637
22,19,2.559
22,20,5.555
23,0,1.571
23,1,1.562
23,2,1.571
23,3,1.565
23,4,1.571
23,5,1.599
23,6,1.605
23,7,1.577
23,8,1.582
23,9,1.634
23,10,1.611
23,11,1.648
23,12,1.641
23,13,1.673
23,14,1.722
23,15,1.765
23,16,1.922
23,17,2.193
23,18,2.764
23,19,4.226
23,20,8.907
23,21,17.36
24,0,3.194
24,1,3.186
24,2,3.19
24,3,3.229
24,4,3.177
24,5,3.189
24,6,3.222
24,7,3.177
24,8,3.21
24,9,3.237
24,10,3.213
24,11,3.203
24,12,3.306
24,13,3.278
24,14,3.369
24,15,3.471
24,16,3.59
24,17,3.833
24,18,4.421
24,19,5.81
24,20,10.51
24,21,18.95
24,22,36.99
26,0,13.05
26,1,13.04
26,2,13.2
26,3,13.09
26,4,13.19
26,5,13.18
26,6,13.11
26,7,13.15
26,8,13.09
26,9,13.37
26,10,13.17
26,11,13.18
26,12,13.18
26,13,13.3
26,14,13.25
26,15,13.4
26,16,13.48
26,17,13.98
26,18,14.43
26,19,16.17
26,20,19.73
26,21,26.02
26,22,47.45
26,23,85.92
26,24,172.74
27,0,26.02
27,1,26.05
27,2,26.2
27,3,26.44
27,4,26.33
27,5,26.12
27,6,26.3
27,7,26.23
27,8,26.22
27,9,26.22
27,10,26.2
27,11,26.46
27,12,26.44
27,13,26.55
27,14,26.66
27,15,26.6
27,16,26.79
27,17,27.45
27,18,28.52
27,19,31.12
27,20,36.86
27,21,48.93
27,22,75.42
27,23,156.6
27,24,312.3
27,25,655.8
28,0,51.87
28,1,52.36
28,2,52.27
28,3,52.28
28,4,52.17
28,5,52.35
28,6,52.47
28,7,52.08
28,8,52.4
28,9,52.36
28,10,52.37
28,11,52.38
28,12,52.65
28,13,52.4
28,14,52.54
28,15,53.07
28,16,53.14
28,17,53.99
28,18,54.89
28,19,56.98
28,20,63.36
28,21,76.32
28,22,103.2
28,23,158.76
28,24,288.42
28,25,690.6
28,26,1410.0
29,0,102.3
29,1,102.54
29,2,102.18
29,3,102.3
29,4,102.54
29,5,102.72
29,6,102.84
29,7,102.78
29,8,102.78
29,9,103.2
29,10,102.96
29,11,103.38
29,12,103.32
29,13,102.96
29,14,103.62
29,15,103.44
29,16,103.8
29,17,105.0
29,18,106.38
29,19,108.3
29,20,114.84
29,21,129.3
29,22,156.36
29,23,214.5
29,24,345.0
29,25,761.4
