log capacity,log update,log init-update,time(s),proof size(B)
25,0,2,0.0004191,96
25,1,2,0.0003208,96
25,2,2,0.0003758,96
25,3,2,0.0004879,96
25,4,2,0.0004329,96
25,5,2,0.0003595,96
25,6,2,0.0007062,96
25,7,2,0.0006083,96
25,8,2,0.00166,96
25,9,2,0.0008923,96
25,10,2,0.001413,96
25,11,2,0.002089,96
25,12,2,0.00405,96
25,13,2,0.007188,96
25,14,2,0.01468,96
25,15,2,0.03073,96
25,16,2,0.06771,96
25,17,2,0.139,96
25,18,2,0.3115,96
25,19,2,0.6914,96
25,20,2,1.676,96
25,21,2,3.876,96
25,22,2,8.929,96
25,23,2,20.05,96
26,0,2,0.000441,96
26,1,2,0.0004902,96
26,2,2,0.001007,96
26,3,2,0.000592,96
26,4,2,0.0004429,96
26,5,2,0.001082,96
26,6,2,0.001762,96
26,7,2,0.0009687,96
26,8,2,0.000856,96
26,9,2,0.00119,96
26,10,2,0.001429,96
26,11,2,0.002347,96
26,12,2,0.004284,96
26,13,2,0.007469,96
26,14,2,0.01582,96
26,15,2,0.03118,96
26,16,2,0.06554,96
26,17,2,0.1396,96
26,18,2,0.3067,96
26,19,2,0.6986,96
26,20,2,1.687,96
26,21,2,3.883,96
26,22,2,8.888,96
26,23,2,19.62,96
26,24,2,43.81,96
27,0,3,0.0004462,96
27,1,3,0.0004789,96
27,2,3,0.000481,96
27,3,3,0.000488,96
27,4,3,0.0004917,96
27,5,3,0.0006034,96
27,6,3,0.0006936,96
27,7,3,0.0006685,96
27,8,3,0.0009375,96
27,9,3,0.00106,96
27,10,3,0.001353,96
27,11,3,0.002114,96
27,12,3,0.003979,96
27,13,3,0.007368,96
27,14,3,0.01497,96
27,15,3,0.0337,96
27,16,3,0.071,96
27,17,3,0.1492,96
27,18,3,0.3237,96
27,19,3,0.7431,96
27,20,3,1.777,96
27,21,3,4.052,96
27,22,3,9.032,96
27,23,3,19.73,96
27,24,3,43.08,96
27,25,3,97.38,96
28,0,3,0.001293,96
28,1,3,0.001184,96
28,2,3,0.0006775,96
28,3,3,0.0007477,96
28,4,3,0.0007783,96
28,5,3,0.0008976,96
28,6,3,0.0006869,96
28,7,3,0.0008159,96
28,8,3,0.001061,96
28,9,3,0.001075,96
28,10,3,0.00158,96
28,11,3,0.002376,96
28,12,3,0.004209,96
28,13,3,0.007613,96
28,14,3,0.01518,96
28,15,3,0.03132,96
28,16,3,0.06531,96
28,17,3,0.1382,96
28,18,3,0.3013,96
28,19,3,0.6985,96
28,20,3,1.626,96
28,21,3,3.782,96
28,22,3,8.475,96
28,23,3,18.53,96
28,24,3,41.18,96
28,25,3,94.56,96
28,26,3,208.38,96
29,0,3,0.000775,96
29,1,3,0.0007518,96
29,2,3,0.0006147,96
29,3,3,0.0007432,96
29,4,3,0.0007838,96
29,5,3,0.0008564,96
29,6,3,0.0007561,96
29,7,3,0.0008462,96
29,8,3,0.001087,96
29,9,3,0.001662,96
29,10,3,0.0016,96
29,11,3,0.002508,96
29,12,3,0.004544,96
29,13,3,0.007654,96
29,14,3,0.01547,96
29,15,3,0.03255,96
29,16,3,0.07079,96
29,17,3,0.1529,96
29,18,3,0.3333,96
29,19,3,0.7503,96
29,20,3,1.772,96
29,21,3,4.017,96
29,22,3,8.815,96
29,23,3,19.66,96
29,24,3,42.05,96
29,25,3,92.46,96
29,26,3,204.3,96
29,27,3,454.14,96
30,0,3,0.000775,96
30,1,3,0.0007518,96
30,2,3,0.0006147,96
30,3,3,0.0007432,96
30,4,3,0.0007838,96
30,5,3,0.0008564,96
30,6,3,0.0007561,96
30,7,3,0.0008462,96
30,8,3,0.001087,96
30,9,3,0.001662,96
30,10,3,0.0016,96
30,11,3,0.002508,96
30,12,3,0.004544,96
30,13,3,0.007654,96
30,14,3,0.01547,96
30,15,3,0.03255,96
30,16,3,0.07079,96
30,17,3,0.1529,96
30,18,3,0.3333,96
30,19,3,0.7503,96
30,20,3,1.772,96
30,21,3,4.017,96
30,22,3,8.815,96
30,23,3,19.66,96
30,24,3,42.05,96
30,25,3,92.46,96
30,26,3,204.3,96
30,27,3,454.14,96
30,28,3,1003.65,96
31,0,3,0.000775,96
31,1,3,0.0007518,96
31,2,3,0.0006147,96
31,3,3,0.0007432,96
31,4,3,0.0007838,96
31,5,3,0.0008564,96
31,6,3,0.0007561,96
31,7,3,0.0008462,96
31,8,3,0.001087,96
31,9,3,0.001662,96
31,10,3,0.0016,96
31,11,3,0.002508,96
31,12,3,0.004544,96
31,13,3,0.007654,96
31,14,3,0.01547,96
31,15,3,0.03255,96
31,16,3,0.07079,96
31,17,3,0.1529,96
31,18,3,0.3333,96
31,19,3,0.7503,96
31,20,3,1.772,96
31,21,3,4.017,96
31,22,3,8.815,96
31,23,3,19.66,96
31,24,3,42.05,96
31,25,3,92.46,96
31,26,3,204.3,96
31,27,3,454.14,96
31,28,3,1003.65,96
31,29,3,2218.07,96
32,0,3,0.000775,96
32,1,3,0.0007518,96
32,2,3,0.0006147,96
32,3,3,0.0007432,96
32,4,3,0.0007838,96
32,5,3,0.0008564,96
32,6,3,0.0007561,96
32,7,3,0.0008462,96
32,8,3,0.001087,96
32,9,3,0.001662,96
32,10,3,0.0016,96
32,11,3,0.002508,96
32,12,3,0.004544,96
32,13,3,0.007654,96
32,14,3,0.01547,96
32,15,3,0.03255,96
32,16,3,0.07079,96
32,17,3,0.1529,96
32,18,3,0.3333,96
32,19,3,0.7503,96
32,20,3,1.772,96
32,21,3,4.017,96
32,22,3,8.815,96
32,23,3,19.66,96
32,24,3,42.05,96
32,25,3,92.46,96
32,26,3,204.3,96
32,27,3,454.14,96
32,28,3,1003.65,96
32,29,3,2218.07,96
32,30,3,4901.92,96
33,0,3,0.000775,96
33,1,3,0.0007518,96
33,2,3,0.0006147,96
33,3,3,0.0007432,96
33,4,3,0.0007838,96
33,5,3,0.0008564,96
33,6,3,0.0007561,96
33,7,3,0.0008462,96
33,8,3,0.001087,96
33,9,3,0.001662,96
33,10,3,0.0016,96
33,11,3,0.002508,96
33,12,3,0.004544,96
33,13,3,0.007654,96
33,14,3,0.01547,96
33,15,3,0.03255,96
33,16,3,0.07079,96
33,17,3,0.1529,96
33,18,3,0.3333,96
33,19,3,0.7503,96
33,20,3,1.772,96
33,21,3,4.017,96
33,22,3,8.815,96
33,23,3,19.66,96
33,24,3,42.05,96
33,25,3,92.46,96
33,26,3,204.3,96
33,27,3,454.14,96
33,28,3,1003.65,96
33,29,3,2218.07,96
33,30,3,4901.92,96
33,31,3,10833.25,96
