log capacity,log update,log init-update,time(s),proof size(KB)
25,0,2,6.275,1.648
25,1,2,6.242,1.648
25,2,2,6.26,1.648
25,3,2,6.364,1.648
25,4,2,6.247,1.648
25,5,2,6.246,1.648
25,6,2,6.257,1.648
25,7,2,6.227,1.648
25,8,2,6.343,1.648
25,9,2,6.409,1.648
25,10,2,6.343,1.648
25,11,2,6.242,1.648
25,12,2,6.397,1.648
25,13,2,6.247,1.648
25,14,2,6.228,1.648
25,15,2,6.297,1.648
25,16,2,6.361,1.648
25,17,2,6.563,1.648
25,18,2,6.796,1.648
25,19,2,7.46,1.648
25,20,2,8.795,1.648
25,21,2,11.99,1.648
25,22,2,18.79,1.648
25,23,2,33.85,1.648
26,0,2,12.65,1.712
26,1,2,12.6,1.7121
26,2,2,12.6,1.712
26,3,2,12.5,1.712
26,4,2,12.5,1.712
26,5,2,12.68,1.712
26,6,2,12.57,1.712
26,7,2,12.53,1.712
26,8,2,12.49,1.712
26,9,2,12.7,1.712
26,10,2,12.63,1.712
26,11,2,12.74,1.712
26,12,2,12.73,1.712
26,13,2,12.61,1.712
26,14,2,12.65,1.712
26,15,2,12.79,1.712
26,16,2,12.7,1.712
26,17,2,13.0,1.712
26,18,2,13.13,1.712
26,19,2,13.75,1.712
26,20,2,15.2,1.712
26,21,2,18.02,1.712
26,22,2,24.83,1.712
26,23,2,39.61,1.712
26,24,2,71.34,1.712
27,0,3,25.31,1.776
27,1,3,25.53,1.776
27,2,3,25.57,1.776
27,3,3,25.5,1.776
27,4,3,25.4,1.776
27,5,3,25.39,1.776
27,6,3,25.37,1.776
27,7,3,25.57,1.776
27,8,3,25.56,1.776
27,9,3,25.51,1.776
27,10,3,25.44,1.776
27,11,3,25.64,1.776
27,12,3,25.47,1.776
27,13,3,25.67,1.776
27,14,3,25.59,1.776
27,15,3,25.66,1.776
27,16,3,25.79,1.776
27,17,3,25.67,1.776
27,18,3,25.95,1.776
27,19,3,26.63,1.776
27,20,3,28.35,1.776
27,21,3,31.26,1.776
27,22,3,37.94,1.776
27,23,3,52.1,1.776
27,24,3,82.74,1.776
27,25,3,150.9,1.776
28,0,3,49.94,1.840
28,1,3,50.11,1.840
28,2,3,49.96,1.840
28,3,3,49.89,1.840
28,4,3,50.02,1.840
28,5,3,50.05,1.840
28,6,3,50.18,1.840
28,7,3,50.16,1.840
28,8,3,50.37,1.840
28,9,3,50.18,1.840
28,10,3,50.04,1.840
28,11,3,50.2,1.840
28,12,3,50.39,1.840
28,13,3,49.96,1.840
28,14,3,50.12,1.840
28,15,3,50.13,1.840
28,16,3,49.91,1.840
28,17,3,50.51,1.840
28,18,3,50.65,1.840
28,19,3,51.09,1.840
28,20,3,52.71,1.840
28,21,3,55.66,1.840
28,22,3,62.16,1.840
28,23,3,75.24,1.840
28,24,3,106.44,1.840
28,25,3,174.54,1.840
28,26,3,324.84,1.840
29,0,3,100.56,1.904
29,1,3,101.22,1.904
29,2,3,101.22,1.904
29,3,3,100.98,1.904
29,4,3,101.1,1.904
29,5,3,100.92,1.904
29,6,3,100.38,1.904
29,7,3,100.8,1.904
29,8,3,100.62,1.904
29,9,3,100.26,1.904
29,10,3,100.02,1.904
29,11,3,100.62,1.904
29,12,3,100.38,1.904
29,13,3,100.26,1.904
29,14,3,100.02,1.904
29,15,3,100.8,1.904
29,16,3,101.64,1.904
29,17,3,102.12,1.904
29,18,3,102.18,1.904
29,19,3,102.48,1.904
29,20,3,103.2,1.904
29,21,3,106.56,1.904
29,22,3,113.64,1.904
29,23,3,126.3,1.904
29,24,3,157.14,1.904
29,25,3,222.78,1.904
29,26,3,370.08,1.904
29,27,3,693.0,1.904
30,0,3,201.12,1.968
30,1,3,202.44,1.968
30,2,3,202.44,1.968
30,3,3,201.96,1.968
30,4,3,202.20,1.968
30,5,3,201.84,1.968
30,6,3,200.76,1.968
30,7,3,201.60,1.968
30,8,3,201.24,1.968
30,9,3,200.52,1.968
30,10,3,200.04,1.968
30,11,3,201.24,1.968
30,12,3,200.76,1.968
30,13,3,200.52,1.968
30,14,3,200.04,1.968
30,15,3,201.60,1.968
30,16,3,203.28,1.968
30,17,3,204.24,1.968
30,18,3,204.36,1.968
30,19,3,204.96,1.968
30,20,3,206.40,1.968
30,21,3,213.12,1.968
30,22,3,227.28,1.968
30,23,3,252.60,1.968
30,24,3,314.28,1.968
30,25,3,445.56,1.968
30,26,3,740.16,1.968
30,27,3,1386.00,1.968
30,28,3,2772.00,1.968
31,0,3,402.24,2.032
31,1,3,404.88,2.032
31,2,3,404.88,2.032
31,3,3,403.92,2.032
31,4,3,404.40,2.032
31,5,3,403.68,2.032
31,6,3,401.52,2.032
31,7,3,403.20,2.032
31,8,3,402.48,2.032
31,9,3,401.04,2.032
31,10,3,400.08,2.032
31,11,3,402.48,2.032
31,12,3,401.52,2.032
31,13,3,401.04,2.032
31,14,3,400.08,2.032
31,15,3,403.20,2.032
31,16,3,406.56,2.032
31,17,3,408.48,2.032
31,18,3,408.72,2.032
